Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Frequency,Count
"RT @Aguiarthur: Arthur: ""a gente tá em constante evolução, temos muito pra evoluir o tempo todo.""",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'aguiarthur', 'arthur', 'a', 'gente', 'tá', 'em', 'constante', 'evolução', 'temos', 'muito', 'pra', 'evoluir', 'o', 'tempo', 'todo']",,
"naiara e arthur aguiar são a cara da fazenda, estão no programa errado",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['naiara', 'e', 'arthur', 'aguiar', 'são', 'a', 'cara', 'da', 'fazenda', 'estão', 'no', 'programa', 'errado']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
"RT @leodopastel: o Douglas é casado e queriam que ele colocasse mulher no vip, não é todo mundo que é Arthur Aguiar.",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['é', 'que', 'rt', 'leodopastel', 'o', 'douglas', 'casado', 'e', 'queriam', 'ele', 'colocasse', 'mulher', 'no', 'vip', 'não', 'todo', 'mundo', 'arthur', 'aguiar']",,
@Aguiarthur adm me segue por favor ✨❤️❤️❤️❤️❤️✨✨✨✨✨✨✨,"{'✨', '❤️'}",'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur', 'adm', 'me', 'segue', 'por', 'favor']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
RT @Aguiarthur: “Tô grato que eu tô imune! Tô feliz!” #BBB22 https://t.co/Y8wvDz72AG,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['tô', 'rt', 'aguiarthur', 'grato', 'que', 'eu', 'imune', 'feliz', 'https']",,
"O CASO ARTHUR AGUIAR SE REPETINDO 😂😂😂😂😂
Que tome mais gaia pra ficar esperto. JURO!!",{'😂'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o', 'caso', 'arthur', 'aguiar', 'se', 'repetindo', 'que', 'tome', 'mais', 'gaia', 'pra', 'ficar', 'esperto', 'juro']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
