Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Frequency,Frequencias2
RT @thiagomava: Arthur Aguiar no BBB. https://t.co/RmEfgzxUy5,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"@letalismandeiza camarote tem Arthur Aguiar, Pedro Scooby e  Brunna",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"@mauriciosilvacl Eu ainda tô de cara com o Arthur Aguiar. Maluco ligou o foda-se, o cara ama uma polêmica kkkkkk na… https://t.co/mZXRJVTeoF",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Arthur Aguiar vai trair a muie ao vivo agora,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"@danizocaka Também acho.
Arthur Aguiar affff",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
O Arthur Aguiar prontinho pra trair a Mayra Cardi a décima oitava vez e depois se arrepender de novo e ela acredita… https://t.co/9c37Zn7xdy,set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @TiagoBispo0: Arthur Aguiar tão irrelevante que foi anunciado no meio dos pipoca #BBB22,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"BBB: Traída 50 vezes, Mayra Cardi diz que Arthur Aguiar quis entrar casado https://t.co/BGh1FUEok1 via @splash_uol @UOL",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
arthur aguiar no bbb quero só ver oq vai dar,set(),'raiva',100,[0.19],[0.02],[0.32],[0.01],[0.45],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @NazareAmarga: Arthur Aguiar no BBB e a primeira prova de resistência é ver quanto tempo ele aguenta ficar sem trair a mulher dele #BBB22,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @faustanetes: VAMOS DE REPRESENTATIVIDADE POLIGÂMICA 😭😭😭😭🙏🙏🙏🙏 ARTHUR AGUIAR CAMPEÃO,"{'😭', '🙏'}",'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
eu não quero nem ver o cancelamento do Arthur Aguiar nessa casa kkkkk,set(),'raiva',100,[0.3],[0.01],[0.22],[0.0],[0.46],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"@erimota91 Já bem uns 3: Arthur Aguiar, Pedro Scooby ew Brunna Gonçalves",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"A Inês deu carreira pro Arthur Aguiar, só lembro dele pelo meme",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Arthur Aguiar vai trair logo na primeira festa que é pra mostrar o cartão de visita dele,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @radioitatiaia: BBB22: Arthur Aguiar, primeiro Camarote confirmado, traiu a esposa 16 vezes e assume ser tímido

https://t.co/KPm3SkurFM",set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @katnissong: arthur aguiar estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mulher e…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
arthur aguiar no bbb 🥱🥱🥱,{'🥱'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Eu trocava Arthur Aguiar por Inês Brasil fácil faaaaaacil,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Ah não o Arthur Aguiar não kkkkkkkkkk,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @nathmovilla: Sabe qual o pior? Tem grandes chances do Arthur Aguiar ter uma atitude completamente normal e o povo começar a enaltecer e…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"@SeklerEnzo Eu so conheço o adúltero Arthur Aguiar, viciado em viver",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
@bchartsnet #bbb2022 #BBB22 #MoonKnight #ScreamMovie juliette Arthur Aguiar mayra eliezer Selena Gomes Sarah… https://t.co/074FTD9Qyh,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @Pilantra___: Arthur Aguiar ta REALMENTE no BBB 🤡 eu jurei que seria meme, cancela oo camarote porque JA DEU TUDO ERRADO 
#BBB22 https:/…",{'🤡'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @blckklucas: pedro scooby e arthur aguiar juntos no mesmo reality 💀,{'💀'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @luvas_militante: O 17° chifre vem, agora em rede nacional

#BBB22 
Big Brother Brasil / BBB 🤡/ Arthur Aguiar https://t.co/mmG7X5P9H0",{'🤡'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @rennanleta: Pedro Scooby e Arthur Aguiar no mesmo reality KKKKKKKKKKK

MEU DEUS, BONINHO",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @caismila: ARTHUR AGUIAR CONFIRMADO
O BRASIL NÃO MERECE ISSO
#BBB22 https://t.co/bMUsRRkNqR",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @crfleozim: @bbb Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulher dele
B…",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Será que o arthur Aguiar vai chifrar a maira cardi em rede nacional? façam suas apostas #bbb22,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @whomath: o arthur aguiar entrando e eu lembrando disso #bbb22 https://t.co/uULhkvWaJS,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"@pedrocertezas Eslovênia Herzegovina
Vinicius do vigor (da deep web)
Luciano ninfomaníaco Estevan
AgroLais Villa Mi… https://t.co/0P28rco4kE",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Muita coragem do Arthur Aguiar entrar no BBB kkkkk,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
arthur aguiar vai guampear a mulher ao vivo meeee,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @Dudu: O Arthur Aguiar com essa cópia da Mayra Cardi eu já tô vendo música nova pedindo desculpa depois https://t.co/FSCukbU2kB,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @mrxstf: arthur aguiar no bbb me dá medo pois conheço o brasil e sei como amam um pet problemático pra chamar de seu,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @luanacruz95: Macho escroto da edição ✅

#BBB22 
Big Brother Brasil / BBB 🤡/ Arthur Aguiar https://t.co/NS5N52x8JY","{'✅', '🤡'}",'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Será que a 17° traição do Arthur aguiar vem aí? Será que vai ser ao vivo???,set(),'neutro',100,[0.28],[0.01],[0.42],[0.0],[0.29],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @acostumadinha: medo de cair no papo do arthur aguiar e terminar o bbb22 dizendo que ele é uma vítima da sociedade,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @legadaodamassa: ARTHUR AGUIAR: O CARA QUE É SIMPLESMENTE A MAIOR VÍTIMA DA SOCIEDADE!!!!! #BBB22 https://t.co/fBFt79wJlT,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @rennanleta: Imagina uma conversa entre Arthur Aguiar e Pedro Scooby sobre paternidade,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
ansioso para ver o arthur aguiar nas festas do BBB,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"@christianborg_s Precisam dar uma filtrada melhor na verdade, o Arthur Aguiar por exemplo só entrou no BBB para pag… https://t.co/upvNjMHSS9",set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @matheuslaneri: A única expectativa para Arthur Aguiar é que ele traia a mulher pela décima sétima vez. Fora isso, não espero mais nada",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @NazareAmarga: Arthur Aguiar no BBB e a primeira prova de resistência é ver quanto tempo ele aguenta ficar sem trair a mulher dele #BBB22,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @acostumadinha: medo de cair no papo do arthur aguiar e terminar o bbb22 dizendo que ele é uma vítima da sociedade,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @cleangabi: com a entrada de pedro scooby e arthur aguiar, entram também mais duas participantes: luana piovani e mayra cardi que farão…",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @idaibabi: Só queria ver o Arthur Aguiar traindo no bbb p ver se aquela menina deixa d ser trouxa,set(),'raiva',100,[0.19],[0.02],[0.32],[0.01],[0.45],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @livrariaemcasa: Nenhuma surpresa, todo mundo já sabia, mas Pedro Scooby, Arthur Aguiar. Que isso? A Fazenda?",set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @lil_vinicinho: 🚨Vaza vídeo íntimo de Arthur Aguiar, do grupo Camarote, onde o cantor supostamente estaria no quarto do hotel com 6 mulh…",{'🚨'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Se o Arthur Aguiar ficar 4 semanas lá ele arruma um namoro e uma traição que será o motivo da sua eliminação,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @pretademaiss: O ARTHUR AGUIAR TÁ NA CHAMADA DO BBB22 DIZENDO QUE É UMA PESSOA MUITO TRANSPARENTE KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @camilavicentea: O Arthur Aguiar tá sendo cancelado por simplesmente não ser egoista, pq amar somente uma pessoa, se ele pode amar vária…",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @imaginago: já pode votar pro Arthur Aguiar sair?,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Já pode votar pro Arthur Aguiar sair???,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @bbb: Arthur Aguiar, do grupo Camarote, é ator e cantor, diz que é muito transparente e que, das provas de resistência, só vai sair carr…",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @faeloliveirarj: Arthur Aguiar e o roteiro:

1. Vai ficar doidao na primeira festa, dizer q achou a mulher bonita mas é feliz aqui fora…",set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"Minha torcida no BBB 22 vai para o mais romântico, Arthur Aguiar",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"o arthur aguiar vai trair a mayra com a médica, anotem",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Minha torcida pro bbb até agora é o Arthur Aguiar trair a Mayra Cardi em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"Arthur Aguiar não gente, nãooooooo",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Gostaria de dizer que já sou fora Arthur Aguiar!,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @whomath: o luciano falando sobre monogamia e poligamia com o arthur aguiar lá dentro do bbb 😭,{'😭'},'neutro',100,[0.17],[0.01],[0.74],[0.0],[0.08],[0.0],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @SucoDeFruta2019: @legadaodamassa Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trai…",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @katnissong: arthur aguiar estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mulher e…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
Esperando o arthur aguiar dar em cima da bruna gonçalves e a ludmila mete a porrada nele aqui fora,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @scarletcai: não eliminem o arthur aguiar antes de ele dar corno mayra cardi pelo menos umas cinco vezes eu imploro https://t.co/OA82ruM…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @scarletcai: não eliminem o arthur aguiar antes de ele dar corno mayra cardi pelo menos umas cinco vezes eu imploro https://t.co/OA82ruM…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @eguabarbara: arthur aguiar e jade picon sentados no sofazinho em frente a piscina no bbb trocando taticas de como meter chifre apenas,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
@lucasinutilismo o Arthur Aguiar aí https://t.co/gox9AGDcXT,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @livrariaemcasa: Nenhuma surpresa, todo mundo já sabia, mas Pedro Scooby, Arthur Aguiar. Que isso? A Fazenda?",set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
"RT @garotxdoblogofc: O Arthur Aguiar no bbb vai fornecer dois entretenimento, ele lá dentro e a mayra Cardi aqui fora",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
RT @whomath: o arthur aguiar entrando e eu lembrando disso #bbb22 https://t.co/uULhkvWaJS,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'live', 'do', 'é', 'show']",,
