Tweet,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
ansi ver comport @aguiarthur casa!!😂 #bbb22,'neutro',,,,,,,
@sophiaabraha quer ver @naiarazeved @aguiarthur @sophiaabraha #bbb22,'neutro',,,,,,,
@micaelofic @aguiarthur fofoo,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',,,,,,,
@micaelofic @aguiarthur 😍😍,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur tá cert 🙌🏻🙌🏻❤️,'neutro',,,,,,,
@micaelofic @aguiarthur vdd mik vítim sociedad tmb sao gent avis,'raiva',,,,,,,
@micaelofic @aguiarthur micael quer ness program,'neutro',,,,,,,
@micaelofic @aguiarthur coraçã vai ser rebeld sempr 🎶🎶🎶,'neutro',,,,,,,
@micaelofic @aguiarthur ❤️,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"@micaelofic @aguiarthur gent entend nervosismo, micael kkkkkkkkkkkkkkkkkkkkkkkk sab exata…",'neutro',,,,,,,
@micaelofic @aguiarthur amo kkk,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur aind bem fal pra deix segu,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@vctrmath @micaelofic @aguiarthur @juan_alencar_,'alegria',,,,,,,
"@micaelofic @aguiarthur aí foda, sempr ame pesso cert",'neutro',,,,,,,
@micaelofic @aguiarthur micael foda! 👏🏽❤️😍,'neutro',,,,,,,
@micaelofic @bloodlu @aguiarthur fal,'neutro',,,,,,,
@micaelofic @aguiarthur hum kkkkkkk,'alegria',,,,,,,
@micaelofic @aguiarthur 💛✨,'alegria',,,,,,,
@micaelofic @aguiarthur ❤️,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur sonh bbb,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur junt fim,'neutro',,,,,,,
@micaelofic @aguiarthur viv pra ver rebeld assim,'neutro',,,,,,,
@micaelofic @aguiarthur aaaaaaaaaaaaaa,'alegria',,,,,,,
"@micaelofic @aguiarthur tá certo, mika! 🙏🏼",'neutro',,,,,,,
@micaelofic @aguiarthur pra gui pra salv pens desist voz vc vai ouvirrrrrrrrrrrrrr (saudad,'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur quer lá aaa,'raiva',,,,,,,
@micaelofic @aguiarthur lind mic ❤️,'neutro',,,,,,,
@micaelofic @aguiarthur 💛,'alegria',,,,,,,
@micaelofic @aguiarthur isso!! 🙏🏻❤,'neutro',,,,,,,
"@micaelofic @aguiarthur micael obg isso, vc sab acalm coraçã #teamarthuragui",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
@micaelofic @aguiarthur anim,'alegria',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',,,,,,,
"pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim esta…",'neutro',,,,,,,
"@micaelofic fat @aguiarthur lá, atualiz am fã tod vc agor tô ouv rebeld dir…",'neutro',,,,,,,
@malubolanh @aguiarthur @bbaheck @jadepicon @lucasbissoli_ @pedroscooby entend,'alegria',,,,,,,
@mrtete @aguiarthur @bbaheck @jadepicon @lucasbissoli_ @pedroscooby vsffff,'alegria',,,,,,,
fech @aguiarthur @bbaheck @jadepicon @lucasbissoli_ @pedroscooby,'alegria',,,,,,,
quer ver log @aguiarthur @jadepicon 😭😭😭 #bbb22 #bigbrotherbrasil,'neutro',,,,,,,
"gente, séri arthur tá covid? @aguiarthur #teamarthuragui",'neutro',,,,,,,
100% @aguiarthur,'alegria',,,,,,,
"doid pra ver @aguiarthur entrar, scrr! vmss tadeu!! #bigbrotherbrasil #bbb22",'neutro',,,,,,,
ansi esper @aguiarthur entr ❤️,'neutro',,,,,,,
@viroufest @bon resolv test gent divulg dia 14 hoj tbm putz #bbb22 repent do…,'neutro',,,,,,,
rt @somosrebe1 #teamarthuragui @aguiarthur,'neutro',,,,,,,
rt @aguiarthur troc turn adms! bor sub tag? #teamarthuragui,'neutro',,,,,,,
rt @aguiarthur adm chegou! descans porqu agor vam par final! ✨ tá ansi ai? #teamarthuragui #bbb22,'neutro',,,,,,,
@atrev @aguiarthur esquec tra esp 16 vez,'neutro',,,,,,,
"vou assist bbb ano, declar torc pro @aguiarthur coraçã vai ser rebeld sempr êêê",'neutro',,,,,,,
@centralarthurof @aguiarthur vai fé ❤,'neutro',,,,,,,
cad arthur jesus? @aguiarthur #teamarthuragui,'neutro',,,,,,,
"rt @lolohrbr_lov hoj inic desafio, ness nov jorn vid tud corr bem dê certo! continu send pesso fo…",'neutro',,,,,,,
rt @aguiarthur adm chegou! descans porqu agor vam par final! ✨ tá ansi ai? #teamarthuragui #bbb22,'neutro',,,,,,,
@centralarthurof @aguiarthur ameiiiiii❤,'neutro',,,,,,,
"@uaicleb @aguiarthur cara, sonh ver lá bbb",'neutro',,,,,,,
@meirybrayan @aguiarthur veio!!!!,'raiva',,,,,,,
@centralarthurof @aguiarthur consegu follow adm 😭😭😭😭😭,'alegria',,,,,,,
@centralarthurof @aguiarthur boaa centr #teamarthuragui,'alegria',,,,,,,
@cheirodoarth @aguiarthur sempr #teamarthuragui,'alegria',,,,,,,
"lembr diss aqui, sei surt sei ond tav cabeç kkkkkk @aguiarthur",'neutro',,,,,,,
rt @kxtuitt @centralarthurof @aguiarthur #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur amoo #teamarthuragui,'alegria',,,,,,,
"@centralarthurof @aguiarthur aeee, fod #teamarthuragui",'neutro',,,,,,,
"@centralarthurof @aguiarthur adm segue? precis mand dm, pod dar unfollow",'neutro',,,,,,,
@centralarthurof @aguiarthur #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur cuideeemmm #teamarthuragui,'alegria',,,,,,,
rt @thaybelikov @centralarthurof @aguiarthur amo ser #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur aeeeee ✨✨✨😍 #teamarthuragui,'alegria',,,,,,,
@aguiarthur #teamarthuragui vamoooo,'alegria',,,,,,,
@centralarthurof @aguiarthur amooo centr 🤍✨,'alegria',,,,,,,
@centralarthurof @aguiarthur urrul,'alegria',,,,,,,
@aguiarthur ta vind ai best,'alegria',,,,,,,
"@centralarthurof @aguiarthur grup bbb 22, entrem!🗣️🔥🔥",'alegria',,,,,,,
@_abaix @aguiarthur @mayracard 😆😆,'alegria',,,,,,,
rt @aguiarthur troc turn adms! bor sub tag? #teamarthuragui,'neutro',,,,,,,
rt @cheirodoarth ver @aguiarthur piscin vai ser tudo!! #teamarthuragui,'neutro',,,,,,,
rt @cheirodoarth vam moviment aqu galera!! hoj estre bbb22 #teamarthuragui ✨ #bbb22 @aguiarthur @centralarthurof…,'neutro',,,,,,,
rt @cheirodoarth ansiedad mil aqu pra ver @aguiarthur cant program #teamarthuragui,'neutro',,,,,,,
rt @aguiarthur troc turn adms! bor sub tag? #teamarthuragui,'neutro',,,,,,,
ver @aguiarthur piscin vai ser tudo!! #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur cheg,'alegria',,,,,,,
ansiedad mil aqu pra ver @aguiarthur cant program #teamarthuragui,'neutro',,,,,,,
"rt @lolohrbr_lov hoj inic desafio, ness nov jorn vid tud corr bem dê certo! continu send pesso fo…",'neutro',,,,,,,
@centralarthurof @aguiarthur,'alegria',,,,,,,
@centralarthurof @aguiarthur emocion tag lind lind,'alegria',,,,,,,
@aguiarthur adm vc preconceit cmg? #teamarthuragui,'neutro',,,,,,,
@cheirodoarth @aguiarthur coraçã vai ser rebeld sempr #teamarthuragui,'neutro',,,,,,,
"@centralarthurof @aguiarthur perc tud p cabel arthur, pqp #teamarthuragui",'neutro',,,,,,,
@centralarthurof @aguiarthur vamosssssss 🍀✨ #teamarthuragui,'alegria',,,,,,,
@gleicegomes @centralarthurof @aguiarthur kkkkkkkkkkkkk #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur diz sim #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur recent q escut brinc comig boa vici 😍,'neutro',,,,,,,
@centralarthurof @aguiarthur falt pouq p ver car neném #teamarthuragui,'raiva',,,,,,,
@centralarthurof @aguiarthur aqu tempor ta fort deix met morr,'neutro',,,,,,,
@aguiarthur,'alegria',,,,,,,
@centralarthurof @aguiarthur @centralarthurof seg ainda??? chate 😂 #teamarthuragui,'neutro',,,,,,,
"arthur agui emoj ✨ sign peix twitt @aguiarthur instagr arthuragui (8,1 milhã segu quand…",'neutro',,,,,,,
rt @somosrebe1 #teamarthuragui @aguiarthur @centralarthurof,'neutro',,,,,,,
"@aguiarthur oi adm, pod seguir? #teamarthuragui",'neutro',,,,,,,
@laragay @jadepicon @linndaquebr @aguiarthur sei 😬 dev notici hoj,'neutro',,,,,,,
"@centralarthurof @aguiarthur grup bbb 22, entrem!🗣️🔥🔥",'alegria',,,,,,,
@centralarthurof @aguiarthur rebeld cheg vez,'alegria',,,,,,,
"@centralarthurof @aguiarthur grup bbb 22, entrem!🗣️🔥🔥",'alegria',,,,,,,
@centralarthurof @aguiarthur març #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur fever #teamarthuragui,'alegria',,,,,,,
rt @somosrebe1 #teamarthuragui @aguiarthur @centralarthurof,'neutro',,,,,,,
@centralarthurof @aguiarthur fl,'alegria',,,,,,,
@centralarthurof @aguiarthur tag lind demal,'alegria',,,,,,,
@centralarthurof @aguiarthur tô sofr antecip kkkkkkkk #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur jan #teamarthuragui,'neutro',,,,,,,
rt @aguiarthur troc turn adms! bor sub tag? #teamarthuragui,'neutro',,,,,,,
rt @vibes_agui @aguiarthur seg adm seg adm seg adm seg adm seg adm #teamarthuragui,'neutro',,,,,,,
@jucilenebarb0s @jadepicon @linndaquebr @aguiarthur ahhhh! 😳 aí entr qdo?,'neutro',,,,,,,
@centralarthurof @aguiarthur tud vid pass quest temp,'neutro',,,,,,,
@centralarthurof @aguiarthur sdv,'alegria',,,,,,,
@ladrx_ @aguiarthur aind sei,'neutro',,,,,,,
@centralarthurof @aguiarthur merec néee 🙌🏻✨ #teamarthuragui,'alegria',,,,,,,
rt @aguiarthur troc turn adms! bor sub tag? #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur vam consegu,'alegria',,,,,,,
@centralarthurof @aguiarthur #teamarthuragui arthur q sair faz show exclus p gent,'neutro',,,,,,,
rt @aguiarthur adm chegou! descans porqu agor vam par final! ✨ tá ansi ai? #teamarthuragui #bbb22,'neutro',,,,,,,
@twitasara @aguiarthur val torc pra quem?,'neutro',,,,,,,
@aguiarthur seg adm seg adm seg adm seg adm seg adm #teamarthuragui,'neutro',,,,,,,
@miria32413026 @aguiarthur tud vai melhor #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur boraaaaa #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur vam bat met,'neutro',,,,,,,
@centralarthurof @aguiarthur #teamarthuragui sdd arthur,'alegria',,,,,,,
"@zquad1dmylif @aguiarthur ansi pra sab também, tai #teamarthuragui",'neutro',,,,,,,
@ladrx_ @aguiarthur gent vai torc pra msm pesso começ sosseg,'neutro',,,,,,,
@aguiarthur adm seg aqui? #teamarthuragui,'neutro',,,,,,,
sempr chuv sempr vem sol @aguiarthur @centralarthurof #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur pq hor pass aaaa #teamarthuragui,'neutro',,,,,,,
@gabscyrus @centralarthurof @aguiarthur engraç amig kkkkkkkkkkkkkkkk #teamarthuragui,'neutro',,,,,,,
rt @roselenepesso @centralarthurof @aguiarthur tud vai melhor temp pod cois lug,'neutro',,,,,,,
@twitasara @aguiarthur torc pro mai amou? #teamarthuragui,'neutro',,,,,,,
@aguiarthur aeee vam vam #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur vam deix lind,'neutro',,,,,,,
@aguiarthur vamosss #teamarthuragui ✨,'alegria',,,,,,,
@miria32413026 @aguiarthur @centralarthurof cont tra mulh 17 vez ach qualidade!!!!!!!!!!,'raiva',,,,,,,
@aguiarthur #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur tud vai melhor temp pod cois lug,'neutro',,,,,,,
@centralarthurof @aguiarthur q ta gost cas adm ? #teamarthuragui,'neutro',,,,,,,
@ladrx_ @aguiarthur q ?,'neutro',,,,,,,
@centralarthurof @aguiarthur amo demal fot #teamarthuragui,'neutro',,,,,,,
"rt @arthuraguiar_q @centralarthurof @aguiarthur descuidar,n deix sol bat #teamarthuragui",'neutro',,,,,,,
rt @bya11060843 @centralarthurof @aguiarthur #teamarthuragui amoooooo,'neutro',,,,,,,
"rt @lolohrbr_lov hoj inic desafio, ness nov jorn vid tud corr bem dê certo! continu send pesso fo…",'neutro',,,,,,,
rt @cheirodoarth 100% junt fim!! @aguiarthur #teamarthuragui,'neutro',,,,,,,
@aguiarthur vamoss lá adm #teamarthuragui,'alegria',,,,,,,
"@centralarthurof @aguiarthur você, fim #teamarthuragui",'neutro',,,,,,,
rt @centralarthurof vam #teamarthuraguiar? met 100 respost aqu valendo! @aguiarthur,'neutro',,,,,,,
@centralarthurof @aguiarthur sonh realiz,'alegria',,,,,,,
rt @joalinsgf @aguiarthur mto adm #teamarthuragui,'neutro',,,,,,,
"ser fã arthur ter idol carismático,brincalhão, ama fic cantarolando, sorris so tem…",'neutro',,,,,,,
rt @bya11060843 @centralarthurof @aguiarthur #teamarthuragui amoooooo,'neutro',,,,,,,
"rt @arthuraguiar_q @centralarthurof @aguiarthur descuidar,n deix sol bat #teamarthuragui",'neutro',,,,,,,
rt @aguiarthur troc turn adms! bor sub tag? #teamarthuragui,'neutro',,,,,,,
@aguiarthur to aaaaa #teamarthuragui #bbb22,'alegria',,,,,,,
@zquad1dmylif @aguiarthur pra recomeç #teamarthuragui,'neutro',,,,,,,
@aguiarthur seg admmm #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur #teamarthuragui amoooooo,'alegria',,,,,,,
@aguiarthur tá cab peit #teamarthuragui,'neutro',,,,,,,
"@centralarthurof @aguiarthur descuidar,n deix sol bat #teamarthuragui",'neutro',,,,,,,
"rt @weakpointrbr @centralarthurof @aguiarthur avis pont luz tudo, adm #teamarthuragui",'raiva',,,,,,,
rt @centralarthurof @mafiaguiarthur @aguiarthur assim #teamarthuragui,'raiva',,,,,,,
rt @weakpointrbr @centralarthurof @aguiarthur vc ped chor gent nao faz sorr adm? #teamarthuragui,'neutro',,,,,,,
rt @aguiarthur adm chegou! descans porqu agor vam par final! ✨ tá ansi ai? #teamarthuragui #bbb22,'neutro',,,,,,,
rt @centralarthurof @weakpointrbr @aguiarthur 😅😅😅 #teamarthuragui,'neutro',,,,,,,
rt @mafiaguiarthur @centralarthurof @aguiarthur ansiedad mil #teamarthuragui #bbb22,'alegria',,,,,,,
rt @thaybelikov @centralarthurof @aguiarthur fot arthur tá tão lindaaaaa #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur tud feit am car permanec,'neutro',,,,,,,
@aguiarthur #teamarthuragui ansiedad,'alegria',,,,,,,
rt @renatan72752656 @centralarthurof @aguiarthur chei luz #teamarthuragui,'alegria',,,,,,,
"rt @_respirolu @centralarthurof @aguiarthur vam tudo, ninguém segur time! #teamarthuragui",'neutro',,,,,,,
"@centralarthurof @aguiarthur porqu sei chuv sempr vem sol tud vai melhorar, temp pod as…",'neutro',,,,,,,
100% junt fim!! @aguiarthur #teamarthuragui,'neutro',,,,,,,
rt @bya11060843 @centralarthurof @aguiarthur tod junt mesm torc,'neutro',,,,,,,
rt @qgrebeldebr @centralarthurof @aguiarthur coraçã centr ? #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur #teamarthuragui,'alegria',,,,,,,
"@centralarthurof @aguiarthur post condiz idade, vai ver falt pouc matur #teamarthuragui",'neutro',,,,,,,
"@centralarthurof @aguiarthur bora, gal #teamarthuragui",'neutro',,,,,,,
rt @centralarthurof @weakpointrbr @aguiarthur adm daqu pouc vai ter dor barrig tant nerv #teamarthuragui,'neutro',,,,,,,
"rt @weakpointrbr @centralarthurof @aguiarthur adm, vc tbm ta ansiosa? to pass mal ja!! #teamarthuragui",'neutro',,,,,,,
@centralarthurof @aguiarthur deit madrug tapet varand estrel ris flert #teamarthuragui,'alegria',,,,,,,
@aguiarthur @centralarthurof #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur precios #teamarthuragui,'alegria',,,,,,,
@centralarthurof @aguiarthur tá lind demal,'neutro',,,,,,,
@centralarthurof @aguiarthur vid pod exist milh nenhum vai ser voc #teamarthuragui,'neutro',,,,,,,
@centralarthurof @aguiarthur vou am verdad sincer acim tud respe vou ser seu…,'neutro',,,,,,,
