User,Tweet,Date,Source,Profile Photo,Translate,Emoji,Sentiment1,Sentiment2
Carlao_089,"Tô sentindo o desespero da @mayracardi, vendo que o @Aguiarthur não aparece logo na casa 
#BBB22",Tue Jan 18 02:24:51 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1435661054462369803/2YGvRidi_normal.jpg,"I'm feeling @mayracardi's despair, seeing that @Aguiarthur doesn't show up at the house right away
#BBB22",set(),0.2857142857142857,0.2857142857142857
Jonatha44259181,"Mulherada tem que segurar a onda, tio @Aguiarthur tá chegando",Tue Jan 18 02:24:08 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1460997824775139329/EFppLLsz_normal.jpg,"Ladies have to hold the wave, uncle @Aguiarthur is coming",set(),0.0,0.0
lausfcs,@MicaelOficial @Aguiarthur vsfkkkkkkkkkkk,Tue Jan 18 02:23:32 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1480268665945837574/qZdBWJwk_normal.jpg,@MicaelOficial @Aguiarthur vsfkkkkkkkkkkkk,set(),0.0,0.0
msttein,@laragonncalves @MicaelOficial @Aguiarthur babado,Tue Jan 18 02:23:30 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1475258449890062342/7QgYxPmT_normal.jpg,@laragonncalves @MicaelOficial @Aguiarthur drool,set(),0.0,0.0
cheirodoarthura,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:23:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482560334430973953/C428-CsT_normal.jpg,That just as we are and…,set(),0.0,0.12
luh_kimura,"Flopou essa estreia, conseguiu me fazer desgostar de metade do elenco. @Aguiarthur minha torcida é sua! Esperando o… https://t.co/PEA49qgJY8",Tue Jan 18 02:22:50 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481164451923517440/2j5-jX4O_normal.jpg,Waiting for… https://t.co/PEA49qgJY8,set(),0.0,-0,2
jujulopess0,RT @tuitelucas: @MicaelOficial @Aguiarthur meu coração rebeldes para sempre n aguenta mica https://t.co/8fAaYQGZgN,Tue Jan 18 02:22:42 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1478537683756621829/Apay_ilL_normal.jpg,RT @tuitelucas: @MicaelOficial @Aguiarthur my heart rebels forever can't take mica https://t.co/8fAaYQGZgN,set(),0.0,0.0
jujulopess0,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:22:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1478537683756621829/Apay_ilL_normal.jpg,That just as we are and…,set(),0.0,0.12
judapra,Aguardando ansiosamente a entrada do @Aguiarthur no #bbb22 e torcendo muito por ele e sua evolução constante #TeamArthurAguiar,Tue Jan 18 02:22:12 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/2692690615/f6d58bfde3a9ded9b583d252e1213ff3_normal.jpeg,Eagerly waiting for @Aguiarthur to join #bbb22 and rooting for him and his constant evolution #TeamArthurAguiar,set(),0.0,0.0
porracamz_,"@MicaelOficial @Aguiarthur kkkkkkkk mas fez minha noite, obg",Tue Jan 18 02:22:05 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1464070855537876995/Fbj8T7u5_normal.jpg,"@MicaelOficial @Aguiarthur lol but it made my night, thank you",set(),0.8,0.8
dnrlimaa,Até agora tô achando franquinho. Cadê o @Aguiarthur pra da uma animada nessa casa? #BBB22,Tue Jan 18 02:21:35 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482546954936672260/9bdgucV4_normal.jpg,#BBB22,set(),0.0,0.19545454545454544
nossomicaelb,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:20:25 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1466221628442955776/g0u1xNaO_normal.jpg,That just as we are and…,set(),0.0,0.12
italoka_,@Aguiarthur estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mu… https://t.co/UQa3i5trfO,Tue Jan 18 02:20:21 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1478120470075654144/p7eol0-G_normal.jpg,@Aguiarthur I'm placing all my entertainment expectations on YOU talk rebel betray your mu… https://t.co/UQa3i5trfO,set(),0.0,0.0
kassia_font20,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:20:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1471678173939212295/arthebq8_normal.jpg,That just as we are and…,set(),0.0,0.12
cthfire91,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:19:56 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481405681131470849/UXPuoUVd_normal.jpg,That just as we are and…,set(),0.0,0.12
Liilian__,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:19:52 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481687840559976461/WpRKntz9_normal.jpg,That just as we are and…,set(),0.0,0.12
giodefortaleza,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:19:32 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482581520334442499/UkYN19RO_normal.jpg,That just as we are and…,set(),0.0,0.12
lpcreis,@MicaelOficial @Aguiarthur Hm,Tue Jan 18 02:19:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1375577782890209286/XlMfq8Qu_normal.jpg,@MicaelOficial @Aguiarthur Hm,set(),0.0,0.0
favmaxine,@MicaelOficial @Aguiarthur ai mika...,Tue Jan 18 02:18:33 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1482459900190019584/PtQaXXiW_normal.jpg,@MicaelOficial @Aguiarthur ai mika...,set(),0.0,0.0
rebelokinha,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:18:15 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1480027692594511873/yTjDB6tk_normal.jpg,That just as we are and…,set(),0.0,0.12
puplfiction,@MicaelOficial @Aguiarthur mica vc eh o mais lindo dos três,Tue Jan 18 02:17:27 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481309045441060868/gFtBKIGL_normal.jpg,@MicaelOficial @Aguiarthur girl you are the most beautiful of the three,set(),0.675,0.675
beerdrews,@MicaelOficial @Aguiarthur junta todos os exa rbrs e gravem um vídeo cantando e declarando torcida para o arthur e… https://t.co/oVcptQbKXq,Tue Jan 18 02:17:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483178053639585797/uKdaKvq5_normal.jpg,@MicaelOficial @Aguiarthur gather all the exa rbrs and record a video singing and declaring support for arthur and… https://t.co/oVcptQbKXq,set(),0.0,0.0
Dudahsouza08,@MicaelOficial @Aguiarthur 😍😍😍,Tue Jan 18 02:17:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481463512832647178/IamvQHC3_normal.jpg,@MicaelOficial @Aguiarthur 😍😍😍,{'😍'},0.0,0.21
iaeltuita,@MicaelOficial @Aguiarthur delicia besties,Tue Jan 18 02:17:04 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482916477636419590/Mldv60MN_normal.jpg,@MicaelOficial @Aguiarthur delights besties,set(),0.0,0.0
PatriciaShockn1,@MicaelOficial @Aguiarthur e isso ai Mica tamo junto,Tue Jan 18 02:16:54 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1460022086148272136/4VR0RZHm_normal.jpg,@MicaelOficial @Aguiarthur and that's it Mica we are together,set(),0.0,0.0
drewbholy,"@MicaelOficial @Aguiarthur eu amo vocês, que saudade de vcs juntos 😭",Tue Jan 18 02:15:15 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1474599021490679809/CNRj_Kqi_normal.jpg,"@MicaelOficial @Aguiarthur I love you, I miss you guys together 😭",{'😭'},0.5,-0.2
takeggs,@kstewhoiam @MicaelOficial @Aguiarthur mds descansa https://t.co/L5LMHIoF49,Tue Jan 18 02:15:13 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483117001023361026/L2x5GnUq_normal.jpg,@kstewhoiam @MicaelOficial @Aguiarthur mds rest https://t.co/L5LMHIoF49,set(),0.0,0.0
tamiisangel,RT @tuitelucas: @MicaelOficial @Aguiarthur meu coração rebeldes para sempre n aguenta mica https://t.co/8fAaYQGZgN,Tue Jan 18 02:15:11 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483192947986345991/v3UfmRbx_normal.jpg,RT @tuitelucas: @MicaelOficial @Aguiarthur my heart rebels forever can't take mica https://t.co/8fAaYQGZgN,set(),0.0,0.0
tamiisangel,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:14:54 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483192947986345991/v3UfmRbx_normal.jpg,That just as we are and…,set(),0.0,0.12
vidagusetulio,RT @tuitelucas: @MicaelOficial @Aguiarthur meu coração rebeldes para sempre n aguenta mica https://t.co/8fAaYQGZgN,Tue Jan 18 02:14:54 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1479656090006609922/SSIuJVuE_normal.jpg,RT @tuitelucas: @MicaelOficial @Aguiarthur my heart rebels forever can't take mica https://t.co/8fAaYQGZgN,set(),0.0,0.0
proudbelibar,@MicaelOficial @Aguiarthur fechado com o reizinho,Tue Jan 18 02:14:53 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482512773640769536/Ze5k996H_normal.jpg,@MicaelOficial @Aguiarthur closed with the little king,set(),-0,14,-0,14
isabell17293579,@comentalic @MicaelOficial @Aguiarthur Mico foi um cara ser escroto com mulher pro Brasil todo ver. A Carla não tem… https://t.co/suxbGaKn5O,Tue Jan 18 02:14:43 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Carla has no… https://t.co/suxbGaKn5O,set(),0.0,0.0
BlancoSmile,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:14:33 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1482296071464304640/hFsHKp64_normal.jpg,That just as we are and…,set(),0.0,0.12
vidagusetulio,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:14:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1479656090006609922/SSIuJVuE_normal.jpg,That just as we are and…,set(),0.0,0.12
Letmilker,RT @tuitelucas: @MicaelOficial @Aguiarthur meu coração rebeldes para sempre n aguenta mica https://t.co/8fAaYQGZgN,Tue Jan 18 02:14:13 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1468395748240805888/OIh_64dm_normal.jpg,RT @tuitelucas: @MicaelOficial @Aguiarthur my heart rebels forever can't take mica https://t.co/8fAaYQGZgN,set(),0.0,0.0
KevinWilian27,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:14:10 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1475430350516105220/Z3ArgTA9_normal.jpg,That just as we are and…,set(),0.0,0.12
lukelimars,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:14:01 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1472548134131843085/-H0ZEknp_normal.jpg,That just as we are and…,set(),0.0,0.12
troiacomentaa,@MicaelOficial @Aguiarthur ❤️❤️,Tue Jan 18 02:13:51 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1466095200032329729/cyEKGt3r_normal.png,@MicaelOficial @Aguiarthur ❤️❤️,{'❤️'},0.0,0.5
exemplarygiirl,@MicaelOficial @tropaprior @Aguiarthur Tô contigo Mica ❤,Tue Jan 18 02:13:48 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482050264895045637/jq8K_3yo_normal.jpg,@MicaelOficial @tropaprior @Aguiarthur I'm with you Mica ❤,set(),0.0,0.0
KayySear,@jadepicon @Aguiarthur ENTREM LOGO PLMDS #BBB22 #BigBrotherBrasil https://t.co/mq3hhZaZwj,Tue Jan 18 02:13:46 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482507704853843973/MpZ0a6gS_normal.jpg,@jadepicon @Aguiarthur ENTER LOGO PLMDS #BBB22 #BigBrotherBrasil https://t.co/mq3hhZaZwj,set(),0.0,0.0
fIuminenze,"RT @MicaelOficial: Mas pra deixar claro que o fato de não estar ansioso, eu vou torcer muito pro @Aguiarthur ! Que assim como nós estamos e…",Tue Jan 18 02:13:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1478172960062124032/DXr4px4y_normal.jpg,That just as we are and…,set(),0.0,0.12
Liahenriqueofc,@MicaelOficial @Aguiarthur Eu amooooooo🤩🤩,Tue Jan 18 02:13:33 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1443457615527301127/DoqA5FaB_normal.jpg,@MicaelOficial @Aguiarthur I love it🤩🤩,{'🤩'},0.5,0.5
