Tweet,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias
aguard ansios entr @aguiarthur #bbb22 torc evoluç const #teamarthuragui,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@micaelofic @aguiarthur kkkkkkkk fez noite, obg",'neutro',[0.36],[0.0],[0.56],[0.0],[0.07],[0.0],[0.0]
agor tô ach franc cad @aguiarthur pra anim ness casa? #bbb22,'neutro',[0.0],[0.03],[0.73],[0.04],[0.09],[0.11],[0.01]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@aguiarthur deposit tod expect entreten fal rebeld tra mu…,'neutro',[0.03],[0.01],[0.79],[0.0],[0.17],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur hm,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@micaelofic @aguiarthur ai mik,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur mic vc eh lind trê,'alegria',[0.76],[0.0],[0.18],[0.0],[0.05],[0.0],[0.0]
@micaelofic @aguiarthur junt tod exa rbr grav víde cant declar torc arthur e…,'neutro',[0.0],[0.07],[0.86],[0.01],[0.02],[0.04],[0.0]
@micaelofic @aguiarthur 😍😍😍,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@micaelofic @aguiarthur delic besti,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@micaelofic @aguiarthur ai mic tam junt,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@micaelofic @aguiarthur amo vocês, saudad vc junt 😭",'neutro',[0.03],[0.0],[0.87],[0.0],[0.09],[0.0],[0.0]
@kstewho @micaelofic @aguiarthur md descans,'alegria',[0.71],[0.01],[0.21],[0.01],[0.04],[0.01],[0.0]
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',[0.57],[0.0],[0.15],[0.0],[0.27],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',[0.57],[0.0],[0.15],[0.0],[0.27],[0.01],[0.0]
@comentalic @micaelofic @aguiarthur mic car ser escrot mulh pro brasil tod ver carl tem…,'neutro',[0.0],[0.01],[0.98],[0.0],[0.0],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',[0.57],[0.0],[0.15],[0.0],[0.27],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur ❤️❤️,'tristeza',[0.0],[0.04],[0.2],[0.18],[0.0],[0.56],[0.01]
@micaelofic @tropapri @aguiarthur tô contig mic ❤,'neutro',[0.1],[0.01],[0.83],[0.01],[0.04],[0.01],[0.0]
@jadepicon @aguiarthur entr log plmd #bbb22 #bigbrotherbrasil,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur amooooooo🤩🤩,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@micaelofic @laracomentt @aguiarthur amo,'neutro',[0.17],[0.02],[0.71],[0.01],[0.07],[0.02],[0.0]
@micaelofic @takegg @aguiarthur tá quer pic sab ped,'neutro',[0.0],[0.04],[0.82],[0.01],[0.1],[0.03],[0.0]
@micaelofic @aguiarthur mic bem amo vid,'neutro',[0.02],[0.03],[0.86],[0.03],[0.01],[0.04],[0.0]
@micaelofic @aguiarthur aeee 🥳🥳👏👏 tô ansi falt vc lá,'raiva',[0.09],[0.07],[0.19],[0.06],[0.49],[0.09],[0.01]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
list @ particip #bbb22 pra facil @dra_laiscaldas @lucianoestevan @a_jessilan @eusouoeli…,'neutro',[0.03],[0.0],[0.88],[0.0],[0.08],[0.0],[0.0]
"@aguiarthur zer vid fez rebelde, malh agor ta bbb aind galã #bbb22",'neutro',[0.0],[0.0],[0.95],[0.0],[0.04],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur acontec mic igual particip carl diaz agt revel ne mic,'neutro',[0.09],[0.03],[0.7],[0.01],[0.15],[0.02],[0.0]
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',[0.57],[0.0],[0.15],[0.0],[0.27],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur 🤧🤧🤧❤️❤️,'tristeza',[0.0],[0.04],[0.2],[0.18],[0.0],[0.56],[0.01]
@micaelofic @aguiarthur amo tant vc car 😭,'neutro',[0.0],[0.04],[0.71],[0.05],[0.13],[0.06],[0.01]
@micaelofic @aguiarthur amo aind #teamarthuragui,'neutro',[0.01],[0.01],[0.91],[0.0],[0.06],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur 😭😭😭😭😭😭😭😭😭😭😭😭,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur lind,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"ok, vão entrar????#bbb22 #bigbrotherbrasil @aguiarthur @jadepicon",'neutro',[0.0],[0.0],[0.93],[0.0],[0.06],[0.0],[0.0]
@micaelofic @aguiarthur amo,'neutro',[0.17],[0.02],[0.71],[0.01],[0.07],[0.02],[0.0]
@micaelofic @aguiarthur amo,'neutro',[0.17],[0.02],[0.71],[0.01],[0.07],[0.02],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"@micaelofic @aguiarthur ach vai entr hoj ,só quint bb",'raiva',[0.0],[0.0],[0.17],[0.0],[0.83],[0.0],[0.0]
"@micaelofic @pridesarthur @aguiarthur obrig isso, mika! ✨♥️ #teamarthuragui",'neutro',[0.11],[0.0],[0.67],[0.0],[0.22],[0.0],[0.0]
"@micaelofic @aguiarthur vai faz mutirão, mika? kkkkkk",'neutro',[0.01],[0.0],[0.77],[0.0],[0.22],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
ansi ver comport @aguiarthur casa!!😂 #bbb22,'neutro',[0.01],[0.0],[0.79],[0.0],[0.2],[0.0],[0.0]
@sophiaabraha quer ver @naiarazeved @aguiarthur @sophiaabraha #bbb22,'neutro',[0.0],[0.01],[0.79],[0.01],[0.18],[0.01],[0.0]
@micaelofic @aguiarthur fofoo,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',[0.67],[0.04],[0.09],[0.03],[0.12],[0.04],[0.0]
@micaelofic @aguiarthur 😍😍,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur tá cert 🙌🏻🙌🏻❤️,'neutro',[0.01],[0.06],[0.6],[0.1],[0.02],[0.21],[0.01]
@micaelofic @aguiarthur vdd mik vítim sociedad tmb sao gent avis,'raiva',[0.0],[0.0],[0.02],[0.0],[0.96],[0.0],[0.0]
@micaelofic @aguiarthur micael quer ness program,'neutro',[0.03],[0.05],[0.78],[0.04],[0.04],[0.06],[0.01]
@micaelofic @aguiarthur coraçã vai ser rebeld sempr 🎶🎶🎶,'neutro',[0.06],[0.03],[0.69],[0.01],[0.21],[0.01],[0.0]
@micaelofic @aguiarthur ❤️,'neutro',[0.07],[0.05],[0.66],[0.06],[0.02],[0.14],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"@micaelofic @aguiarthur gent entend nervosismo, micael kkkkkkkkkkkkkkkkkkkkkkkk sab exata…",'neutro',[0.1],[0.0],[0.75],[0.0],[0.15],[0.0],[0.0]
@micaelofic @aguiarthur amo kkk,'neutro',[0.17],[0.02],[0.71],[0.01],[0.07],[0.02],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur aind bem fal pra deix segu,'neutro',[0.0],[0.0],[0.97],[0.0],[0.01],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@vctrmath @micaelofic @aguiarthur @juan_alencar_,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@micaelofic @aguiarthur aí foda, sempr ame pesso cert",'neutro',[0.07],[0.0],[0.82],[0.0],[0.1],[0.0],[0.0]
@micaelofic @aguiarthur micael foda! 👏🏽❤️😍,'neutro',[0.02],[0.01],[0.91],[0.01],[0.03],[0.02],[0.0]
@micaelofic @bloodlu @aguiarthur fal,'neutro',[0.13],[0.01],[0.51],[0.0],[0.34],[0.01],[0.0]
@micaelofic @aguiarthur hum kkkkkkk,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@micaelofic @aguiarthur 💛✨,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@micaelofic @aguiarthur ❤️,'neutro',[0.07],[0.05],[0.66],[0.06],[0.02],[0.14],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur sonh bbb,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur junt fim,'neutro',[0.29],[0.02],[0.48],[0.02],[0.18],[0.02],[0.0]
@micaelofic @aguiarthur viv pra ver rebeld assim,'neutro',[0.0],[0.01],[0.89],[0.01],[0.08],[0.01],[0.0]
@micaelofic @aguiarthur aaaaaaaaaaaaaa,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@micaelofic @aguiarthur tá certo, mika! 🙏🏼",'neutro',[0.01],[0.0],[0.56],[0.0],[0.43],[0.0],[0.0]
@micaelofic @aguiarthur pra gui pra salv pens desist voz vc vai ouvirrrrrrrrrrrrrr (saudad,'neutro',[0.0],[0.0],[0.8],[0.0],[0.2],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur quer lá aaa,'raiva',[0.07],[0.06],[0.39],[0.03],[0.39],[0.06],[0.0]
@micaelofic @aguiarthur lind mic ❤️,'neutro',[0.07],[0.05],[0.66],[0.06],[0.02],[0.14],[0.0]
@micaelofic @aguiarthur 💛,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@micaelofic @aguiarthur isso!! 🙏🏻❤,'neutro',[0.0],[0.0],[0.92],[0.0],[0.07],[0.0],[0.0]
"@micaelofic @aguiarthur micael obg isso, vc sab acalm coraçã #teamarthuragui",'neutro',[0.37],[0.01],[0.49],[0.01],[0.12],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur anim,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim esta…",'neutro',[0.0],[0.0],[0.99],[0.0],[0.01],[0.0],[0.0]
"@micaelofic fat @aguiarthur lá, atualiz am fã tod vc agor tô ouv rebeld dir…",'neutro',[0.0],[0.04],[0.79],[0.0],[0.16],[0.01],[0.0]
@malubolanh @aguiarthur @bbaheck @jadepicon @lucasbissoli_ @pedroscooby entend,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@mrtete @aguiarthur @bbaheck @jadepicon @lucasbissoli_ @pedroscooby vsffff,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
fech @aguiarthur @bbaheck @jadepicon @lucasbissoli_ @pedroscooby,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
quer ver log @aguiarthur @jadepicon 😭😭😭 #bbb22 #bigbrotherbrasil,'neutro',[0.0],[0.01],[0.79],[0.01],[0.18],[0.01],[0.0]
"gente, séri arthur tá covid? @aguiarthur #teamarthuragui",'neutro',[0.0],[0.0],[0.66],[0.0],[0.33],[0.0],[0.0]
100% @aguiarthur,'alegria',[0.49],[0.01],[0.49],[0.0],[0.0],[0.01],[0.0]
"doid pra ver @aguiarthur entrar, scrr! vmss tadeu!! #bigbrotherbrasil #bbb22",'neutro',[0.0],[0.0],[0.71],[0.0],[0.29],[0.0],[0.0]
ansi esper @aguiarthur entr ❤️,'neutro',[0.1],[0.07],[0.42],[0.12],[0.01],[0.27],[0.01]
@viroufest @bon resolv test gent divulg dia 14 hoj tbm putz #bbb22 repent do…,'neutro',[0.01],[0.12],[0.85],[0.01],[0.0],[0.01],[0.0]
rt @somosrebe1 #teamarthuragui @aguiarthur,'neutro',[0.32],[0.0],[0.39],[0.0],[0.29],[0.0],[0.0]
rt @aguiarthur troc turn adms! bor sub tag? #teamarthuragui,'neutro',[0.01],[0.0],[0.56],[0.0],[0.44],[0.0],[0.0]
rt @aguiarthur adm chegou! descans porqu agor vam par final! ✨ tá ansi ai? #teamarthuragui #bbb22,'neutro',[0.0],[0.0],[0.96],[0.0],[0.04],[0.0],[0.0]
@atrev @aguiarthur esquec tra esp 16 vez,'neutro',[0.29],[0.02],[0.44],[0.01],[0.23],[0.01],[0.0]
"vou assist bbb ano, declar torc pro @aguiarthur coraçã vai ser rebeld sempr êêê",'neutro',[0.0],[0.0],[0.97],[0.0],[0.03],[0.0],[0.0]
@centralarthurof @aguiarthur vai fé ❤,'neutro',[0.01],[0.01],[0.93],[0.0],[0.04],[0.0],[0.0]
cad arthur jesus? @aguiarthur #teamarthuragui,'neutro',[0.02],[0.0],[0.77],[0.0],[0.2],[0.01],[0.0]
"rt @lolohrbr_lov hoj inic desafio, ness nov jorn vid tud corr bem dê certo! continu send pesso fo…",'neutro',[0.0],[0.0],[0.99],[0.0],[0.0],[0.0],[0.0]
rt @aguiarthur adm chegou! descans porqu agor vam par final! ✨ tá ansi ai? #teamarthuragui #bbb22,'neutro',[0.0],[0.0],[0.96],[0.0],[0.04],[0.0],[0.0]
@centralarthurof @aguiarthur ameiiiiii❤,'neutro',[0.1],[0.01],[0.83],[0.01],[0.04],[0.01],[0.0]
"@uaicleb @aguiarthur cara, sonh ver lá bbb",'neutro',[0.08],[0.01],[0.55],[0.0],[0.35],[0.01],[0.0]
@meirybrayan @aguiarthur veio!!!!,'raiva',[0.01],[0.0],[0.49],[0.0],[0.51],[0.0],[0.0]
@centralarthurof @aguiarthur consegu follow adm 😭😭😭😭😭,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@centralarthurof @aguiarthur boaa centr #teamarthuragui,'alegria',[0.58],[0.01],[0.37],[0.0],[0.03],[0.01],[0.0]
@cheirodoarth @aguiarthur sempr #teamarthuragui,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"lembr diss aqui, sei surt sei ond tav cabeç kkkkkk @aguiarthur",'neutro',[0.21],[0.0],[0.72],[0.0],[0.06],[0.0],[0.0]
rt @kxtuitt @centralarthurof @aguiarthur #teamarthuragui,'neutro',[0.32],[0.0],[0.39],[0.0],[0.29],[0.0],[0.0]
@centralarthurof @aguiarthur amoo #teamarthuragui,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"@centralarthurof @aguiarthur aeee, fod #teamarthuragui",'neutro',[0.39],[0.0],[0.42],[0.0],[0.19],[0.0],[0.0]
"@centralarthurof @aguiarthur adm segue? precis mand dm, pod dar unfollow",'neutro',[0.0],[0.0],[0.83],[0.0],[0.17],[0.0],[0.0]
@centralarthurof @aguiarthur #teamarthuragui,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@centralarthurof @aguiarthur #teamarthuragui,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@centralarthurof @aguiarthur cuideeemmm #teamarthuragui,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
rt @thaybelikov @centralarthurof @aguiarthur amo ser #teamarthuragui,'neutro',[0.01],[0.0],[0.9],[0.0],[0.09],[0.0],[0.0]
@centralarthurof @aguiarthur aeeeee ✨✨✨😍 #teamarthuragui,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@aguiarthur #teamarthuragui vamoooo,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
