Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Words,Frequency,Phrase
RT @thiagomava: Arthur Aguiar no BBB. https://t.co/RmEfgzxUy5,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'no', 'bbb']","('do',)",,
"@letalismandeiza camarote tem Arthur Aguiar, Pedro Scooby e  Brunna",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['camarote', 'tem', 'arthur', 'aguiar', 'pedro', 'scooby', 'e', 'brunna']","('que',)",,
"@mauriciosilvacl Eu ainda tô de cara com o Arthur Aguiar. Maluco ligou o foda-se, o cara ama uma polêmica kkkkkk na… https://t.co/mZXRJVTeoF",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o', 'cara', 'eu', 'ainda', 'tô', 'de', 'com', 'arthur', 'aguiar', 'maluco', 'ligou', 'ama', 'uma', 'polêmica', 'kkkkkk', 'na']","('em',)",,
Arthur Aguiar vai trair a muie ao vivo agora,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['arthur', 'aguiar', 'vai', 'trair', 'a', 'muie', 'ao', 'vivo', 'agora']","('ficar',)",,
"@danizocaka Também acho.
Arthur Aguiar affff",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['também', 'acho', 'arthur', 'aguiar', 'affff']","('mulher',)",,
O Arthur Aguiar prontinho pra trair a Mayra Cardi a décima oitava vez e depois se arrepender de novo e ela acredita… https://t.co/9c37Zn7xdy,set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['a', 'e', 'o', 'arthur', 'aguiar', 'prontinho', 'pra', 'trair', 'mayra', 'cardi', 'décima', 'oitava', 'vez', 'depois', 'se', 'arrepender', 'de', 'novo', 'ela', 'acredita']","('trair',)",,
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mayra', 'cardi', 'dando', 'pronunciamento', 'aqui', 'fora', 'quando', 'arthur', 'aguiar', 'ficar', 'com', 'alguém', 'no', 'bbb']","('resistência',)",,
RT @TiagoBispo0: Arthur Aguiar tão irrelevante que foi anunciado no meio dos pipoca #BBB22,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'tão', 'irrelevante', 'que', 'foi', 'anunciado', 'no', 'meio', 'dos', 'pipoca']","('mayra',)",,
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mayra', 'cardi', 'dando', 'pronunciamento', 'aqui', 'fora', 'quando', 'arthur', 'aguiar', 'ficar', 'com', 'alguém', 'no', 'bbb']","('sem',)",,
"BBB: Traída 50 vezes, Mayra Cardi diz que Arthur Aguiar quis entrar casado https://t.co/BGh1FUEok1 via @splash_uol @UOL",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['bbb', 'traída', 'vezes', 'mayra', 'cardi', 'diz', 'que', 'arthur', 'aguiar', 'quis', 'entrar', 'casado', 'via']","('cardi',)",,
arthur aguiar no bbb quero só ver oq vai dar,set(),'raiva',100,[0.19],[0.02],[0.32],[0.01],[0.45],[0.01],[0.0],"['arthur', 'aguiar', 'no', 'bbb', 'quero', 'só', 'ver', 'oq', 'vai', 'dar']","('uma',)",,
RT @NazareAmarga: Arthur Aguiar no BBB e a primeira prova de resistência é ver quanto tempo ele aguenta ficar sem trair a mulher dele #BBB22,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'rt', 'arthur', 'aguiar', 'no', 'bbb', 'e', 'primeira', 'prova', 'de', 'resistência', 'é', 'ver', 'quanto', 'tempo', 'ele', 'aguenta', 'ficar', 'sem', 'trair', 'mulher', 'dele']","('rede',)",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'prova', 'de', 'resistência', 'do', 'arthur', 'aguiar', 'é', 'ficar', 'meses', 'sem', 'trair', 'a', 'mulher', 'em', 'rede', 'nacional']","('nacional',)",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'é', 'a', 'primeira', 'celebridade', 'que', 'entra', 'cancelada', 'no', 'isso', 'era', 'uma', 'tradição', 'apenas', 'de']","('prova',)",,
RT @faustanetes: VAMOS DE REPRESENTATIVIDADE POLIGÂMICA 😭😭😭😭🙏🙏🙏🙏 ARTHUR AGUIAR CAMPEÃO,"{'🙏', '😭'}",'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'vamos', 'de', 'representatividade', 'poligâmica', 'arthur', 'aguiar', 'campeão']","('vai',)",,
eu não quero nem ver o cancelamento do Arthur Aguiar nessa casa kkkkk,set(),'raiva',100,[0.3],[0.01],[0.22],[0.0],[0.46],[0.01],[0.0],"['eu', 'não', 'quero', 'nem', 'ver', 'o', 'cancelamento', 'do', 'arthur', 'aguiar', 'nessa', 'casa', 'kkkkk']","('meses',)",,
"@erimota91 Já bem uns 3: Arthur Aguiar, Pedro Scooby ew Brunna Gonçalves",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['já', 'bem', 'uns', 'arthur', 'aguiar', 'pedro', 'scooby', 'ew', 'brunna', 'gonçalves']","('ele',)",,
"A Inês deu carreira pro Arthur Aguiar, só lembro dele pelo meme",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'inês', 'deu', 'carreira', 'pro', 'arthur', 'aguiar', 'só', 'lembro', 'dele', 'pelo', 'meme']","('fora',)",,
Arthur Aguiar vai trair logo na primeira festa que é pra mostrar o cartão de visita dele,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['arthur', 'aguiar', 'vai', 'trair', 'logo', 'na', 'primeira', 'festa', 'que', 'é', 'pra', 'mostrar', 'o', 'cartão', 'de', 'visita', 'dele']","('com',)",,
"RT @radioitatiaia: BBB22: Arthur Aguiar, primeiro Camarote confirmado, traiu a esposa 16 vezes e assume ser tímido

https://t.co/KPm3SkurFM",set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['rt', 'bbb', 'arthur', 'aguiar', 'primeiro', 'camarote', 'confirmado', 'traiu', 'a', 'esposa', 'vezes', 'e', 'assume', 'ser', 'tímido']","('primeira',)",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'prova', 'de', 'resistência', 'do', 'arthur', 'aguiar', 'é', 'ficar', 'meses', 'sem', 'trair', 'a', 'mulher', 'em', 'rede', 'nacional']","('isso',)",,
RT @katnissong: arthur aguiar estou depositando todas as minhas expectativas de entretenimento em VOCÊ fale de rebelde traia a sua mulher e…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['de', 'rt', 'arthur', 'aguiar', 'estou', 'depositando', 'todas', 'as', 'minhas', 'expectativas', 'entretenimento', 'em', 'você', 'fale', 'rebelde', 'traia', 'a', 'sua', 'mulher', 'e']","('eu',)",,
arthur aguiar no bbb 🥱🥱🥱,{'🥱'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['arthur', 'aguiar', 'no', 'bbb']","('da',)",,
Eu trocava Arthur Aguiar por Inês Brasil fácil faaaaaacil,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['eu', 'trocava', 'arthur', 'aguiar', 'por', 'inês', 'brasil', 'fácil', 'faaaaaacil']","('aqui',)",,
Ah não o Arthur Aguiar não kkkkkkkkkk,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['não', 'ah', 'o', 'arthur', 'aguiar', 'kkkkkkkkkk']","('pedro',)",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'é', 'a', 'primeira', 'celebridade', 'que', 'entra', 'cancelada', 'no', 'isso', 'era', 'uma', 'tradição', 'apenas', 'de']","('scooby',)",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'é', 'a', 'primeira', 'celebridade', 'que', 'entra', 'cancelada', 'no', 'isso', 'era', 'uma', 'tradição', 'apenas', 'de']","('não',)",,
RT @nathmovilla: Sabe qual o pior? Tem grandes chances do Arthur Aguiar ter uma atitude completamente normal e o povo começar a enaltecer e…,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o', 'e', 'rt', 'sabe', 'qual', 'pior', 'tem', 'grandes', 'chances', 'do', 'arthur', 'aguiar', 'ter', 'uma', 'atitude', 'completamente', 'normal', 'povo', 'começar', 'a', 'enaltecer']","('apenas',)",,
"@SeklerEnzo Eu so conheço o adúltero Arthur Aguiar, viciado em viver",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['eu', 'so', 'conheço', 'o', 'adúltero', 'arthur', 'aguiar', 'viciado', 'em', 'viver']","('já',)",,
RT @chicobarney: Arthur Aguiar é a primeira celebridade que entra cancelada no #BBB22. Isso era uma tradição apenas de #AFazenda.,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'é', 'a', 'primeira', 'celebridade', 'que', 'entra', 'cancelada', 'no', 'isso', 'era', 'uma', 'tradição', 'apenas', 'de']","('dar',)",,
@bchartsnet #bbb2022 #BBB22 #MoonKnight #ScreamMovie juliette Arthur Aguiar mayra eliezer Selena Gomes Sarah… https://t.co/074FTD9Qyh,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['juliette', 'arthur', 'aguiar', 'mayra', 'eliezer', 'selena', 'gomes', 'sarah']","('entretenimento',)",,
"RT @Pilantra___: Arthur Aguiar ta REALMENTE no BBB 🤡 eu jurei que seria meme, cancela oo camarote porque JA DEU TUDO ERRADO 
#BBB22 https:/…",{'🤡'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'ta', 'realmente', 'no', 'bbb', 'eu', 'jurei', 'que', 'seria', 'meme', 'cancela', 'oo', 'camarote', 'porque', 'ja', 'deu', 'tudo', 'errado', 'https']","('celebridade',)",,
RT @blckklucas: pedro scooby e arthur aguiar juntos no mesmo reality 💀,{'💀'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'pedro', 'scooby', 'e', 'arthur', 'aguiar', 'juntos', 'no', 'mesmo', 'reality']","('entra',)",,
"RT @luvas_militante: O 17° chifre vem, agora em rede nacional

#BBB22 
Big Brother Brasil / BBB 🤡/ Arthur Aguiar https://t.co/mmG7X5P9H0",{'🤡'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'o', 'chifre', 'vem', 'agora', 'em', 'rede', 'nacional', 'big', 'brother', 'brasil', 'bbb', 'arthur', 'aguiar']","('cancelada',)",,
"RT @rennanleta: Pedro Scooby e Arthur Aguiar no mesmo reality KKKKKKKKKKK

MEU DEUS, BONINHO",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'pedro', 'scooby', 'e', 'arthur', 'aguiar', 'no', 'mesmo', 'reality', 'kkkkkkkkkkk', 'meu', 'deus', 'boninho']","('era',)",,
"RT @caismila: ARTHUR AGUIAR CONFIRMADO
O BRASIL NÃO MERECE ISSO
#BBB22 https://t.co/bMUsRRkNqR",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'confirmado', 'o', 'brasil', 'não', 'merece', 'isso']","('tradição',)",,
"RT @crfleozim: @bbb Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulher dele
B…",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['sem', 'rt', 'provas', 'de', 'resistência', 'personalizadas', 'luciano', 'minutos', 'punheta', 'arthur', 'aguiar', 'horas', 'trair', 'a', 'mulher', 'dele', 'b']","('brasil',)",,
Será que o arthur Aguiar vai chifrar a maira cardi em rede nacional? façam suas apostas #bbb22,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['será', 'que', 'o', 'arthur', 'aguiar', 'vai', 'chifrar', 'a', 'maira', 'cardi', 'em', 'rede', 'nacional', 'façam', 'suas', 'apostas']","('ver',)",,
RT @whomath: o arthur aguiar entrando e eu lembrando disso #bbb22 https://t.co/uULhkvWaJS,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'entrando', 'e', 'eu', 'lembrando', 'disso']","('dando',)",,
"@pedrocertezas Eslovênia Herzegovina
Vinicius do vigor (da deep web)
Luciano ninfomaníaco Estevan
AgroLais Villa Mi… https://t.co/0P28rco4kE",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['eslovênia', 'herzegovina', 'vinicius', 'do', 'vigor', 'da', 'deep', 'web', 'luciano', 'ninfomaníaco', 'estevan', 'agrolais', 'villa', 'mi']","('pronunciamento',)",,
Muita coragem do Arthur Aguiar entrar no BBB kkkkk,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['muita', 'coragem', 'do', 'arthur', 'aguiar', 'entrar', 'no', 'bbb', 'kkkkk']","('quando',)",,
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mayra', 'cardi', 'dando', 'pronunciamento', 'aqui', 'fora', 'quando', 'arthur', 'aguiar', 'ficar', 'com', 'alguém', 'no', 'bbb']","('alguém',)",,
arthur aguiar vai guampear a mulher ao vivo meeee,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['arthur', 'aguiar', 'vai', 'guampear', 'a', 'mulher', 'ao', 'vivo', 'meeee']","('camarote',)",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'prova', 'de', 'resistência', 'do', 'arthur', 'aguiar', 'é', 'ficar', 'meses', 'sem', 'trair', 'a', 'mulher', 'em', 'rede', 'nacional']","('na',)",,
RT @Dudu: O Arthur Aguiar com essa cópia da Mayra Cardi eu já tô vendo música nova pedindo desculpa depois https://t.co/FSCukbU2kB,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'com', 'essa', 'cópia', 'da', 'mayra', 'cardi', 'eu', 'já', 'tô', 'vendo', 'música', 'nova', 'pedindo', 'desculpa', 'depois']","('só',)",,
RT @mrxstf: arthur aguiar no bbb me dá medo pois conheço o brasil e sei como amam um pet problemático pra chamar de seu,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'no', 'bbb', 'me', 'dá', 'medo', 'pois', 'conheço', 'o', 'brasil', 'e', 'sei', 'como', 'amam', 'um', 'pet', 'problemático', 'pra', 'chamar', 'de', 'seu']","('dele',)",,
"RT @luanacruz95: Macho escroto da edição ✅

#BBB22 
Big Brother Brasil / BBB 🤡/ Arthur Aguiar https://t.co/NS5N52x8JY","{'🤡', '✅'}",'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'macho', 'escroto', 'da', 'edição', 'big', 'brother', 'brasil', 'bbb', 'arthur', 'aguiar']","('lá',)",,
Será que a 17° traição do Arthur aguiar vem aí? Será que vai ser ao vivo???,set(),'neutro',100,[0.28],[0.01],[0.42],[0.0],[0.29],[0.01],[0.0],"['será', 'que', 'a', 'traição', 'do', 'arthur', 'aguiar', 'vem', 'aí', 'vai', 'ser', 'ao', 'vivo']","('estou',)",,
RT @acostumadinha: medo de cair no papo do arthur aguiar e terminar o bbb22 dizendo que ele é uma vítima da sociedade,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'medo', 'de', 'cair', 'no', 'papo', 'do', 'arthur', 'aguiar', 'e', 'terminar', 'o', 'bbb', 'dizendo', 'que', 'ele', 'é', 'uma', 'vítima', 'da', 'sociedade']","('traia',)",,
RT @legadaodamassa: ARTHUR AGUIAR: O CARA QUE É SIMPLESMENTE A MAIOR VÍTIMA DA SOCIEDADE!!!!! #BBB22 https://t.co/fBFt79wJlT,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'o', 'cara', 'que', 'é', 'simplesmente', 'a', 'maior', 'vítima', 'da', 'sociedade']","('sua',)",,
RT @rennanleta: Imagina uma conversa entre Arthur Aguiar e Pedro Scooby sobre paternidade,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'imagina', 'uma', 'conversa', 'entre', 'arthur', 'aguiar', 'e', 'pedro', 'scooby', 'sobre', 'paternidade']","('pra',)",,
ansioso para ver o arthur aguiar nas festas do BBB,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['ansioso', 'para', 'ver', 'o', 'arthur', 'aguiar', 'nas', 'festas', 'do', 'bbb']","('se',)",,
"@christianborg_s Precisam dar uma filtrada melhor na verdade, o Arthur Aguiar por exemplo só entrou no BBB para pag… https://t.co/upvNjMHSS9",set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['precisam', 'dar', 'uma', 'filtrada', 'melhor', 'na', 'verdade', 'o', 'arthur', 'aguiar', 'por', 'exemplo', 'só', 'entrou', 'no', 'bbb', 'para', 'pag']","('vezes',)",,
RT @PaolaDeboche: Mayra Cardi dando pronunciamento aqui fora quando Arthur Aguiar ficar com alguém no bbb. #BBB22 https://t.co/ODmmVpsvp0,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mayra', 'cardi', 'dando', 'pronunciamento', 'aqui', 'fora', 'quando', 'arthur', 'aguiar', 'ficar', 'com', 'alguém', 'no', 'bbb']","('pro',)",,
"RT @matheuslaneri: A única expectativa para Arthur Aguiar é que ele traia a mulher pela décima sétima vez. Fora isso, não espero mais nada",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'rt', 'única', 'expectativa', 'para', 'arthur', 'aguiar', 'é', 'que', 'ele', 'traia', 'mulher', 'pela', 'décima', 'sétima', 'vez', 'fora', 'isso', 'não', 'espero', 'mais', 'nada']","('ser',)",,
RT @NazareAmarga: Arthur Aguiar no BBB e a primeira prova de resistência é ver quanto tempo ele aguenta ficar sem trair a mulher dele #BBB22,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'rt', 'arthur', 'aguiar', 'no', 'bbb', 'e', 'primeira', 'prova', 'de', 'resistência', 'é', 'ver', 'quanto', 'tempo', 'ele', 'aguenta', 'ficar', 'sem', 'trair', 'mulher', 'dele']","('luciano',)",,
RT @acostumadinha: medo de cair no papo do arthur aguiar e terminar o bbb22 dizendo que ele é uma vítima da sociedade,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'medo', 'de', 'cair', 'no', 'papo', 'do', 'arthur', 'aguiar', 'e', 'terminar', 'o', 'bbb', 'dizendo', 'que', 'ele', 'é', 'uma', 'vítima', 'da', 'sociedade']","('para',)",,
"RT @cleangabi: com a entrada de pedro scooby e arthur aguiar, entram também mais duas participantes: luana piovani e mayra cardi que farão…",set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['e', 'rt', 'com', 'a', 'entrada', 'de', 'pedro', 'scooby', 'arthur', 'aguiar', 'entram', 'também', 'mais', 'duas', 'participantes', 'luana', 'piovani', 'mayra', 'cardi', 'que', 'farão']","('um',)",,
RT @idaibabi: Só queria ver o Arthur Aguiar traindo no bbb p ver se aquela menina deixa d ser trouxa,set(),'raiva',100,[0.19],[0.02],[0.32],[0.01],[0.45],[0.01],[0.0],"['ver', 'rt', 'só', 'queria', 'o', 'arthur', 'aguiar', 'traindo', 'no', 'bbb', 'p', 'se', 'aquela', 'menina', 'deixa', 'd', 'ser', 'trouxa']","('dentro',)",,
"RT @livrariaemcasa: Nenhuma surpresa, todo mundo já sabia, mas Pedro Scooby, Arthur Aguiar. Que isso? A Fazenda?",set(),'raiva',100,[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['rt', 'nenhuma', 'surpresa', 'todo', 'mundo', 'já', 'sabia', 'mas', 'pedro', 'scooby', 'arthur', 'aguiar', 'que', 'isso', 'a', 'fazenda']","('depositando',)",,
"RT @lil_vinicinho: 🚨Vaza vídeo íntimo de Arthur Aguiar, do grupo Camarote, onde o cantor supostamente estaria no quarto do hotel com 6 mulh…",{'🚨'},'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['do', 'rt', 'vaza', 'vídeo', 'íntimo', 'de', 'arthur', 'aguiar', 'grupo', 'camarote', 'onde', 'o', 'cantor', 'supostamente', 'estaria', 'no', 'quarto', 'hotel', 'com', 'mulh']","('todas',)",,
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),'alegria',100,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'prova', 'de', 'resistência', 'do', 'arthur', 'aguiar', 'é', 'ficar', 'meses', 'sem', 'trair', 'a', 'mulher', 'em', 'rede', 'nacional']","('as',)",,
